Provider,Unique_Beneficiaries,Avg_Patient_Age,Avg_Chronic_Conditions,IP_Claim_Count,IP_Unique_Beneficiaries,IP_Total_Reimbursement,IP_Avg_Reimbursement,IP_Max_Reimbursement,IP_Total_Deductible,IP_Avg_Deductible,IP_Avg_Claim_Duration,IP_Max_Claim_Duration,IP_Unique_Diagnosis_Codes,IP_Unique_Procedure_Codes,OP_Claim_Count,OP_Unique_Beneficiaries,OP_Total_Reimbursement,OP_Avg_Reimbursement,OP_Max_Reimbursement,OP_Total_Deductible,OP_Avg_Deductible,Total_Claims,Total_Reimbursement,Total_Deductible,Claims_Per_Beneficiary,Reimbursement_Per_Beneficiary,IP_Claim_Share,OP_Claim_Share,IP_Reimbursement_Range,OP_Reimbursement_Range,PotentialFraud
PRV55640,297,69.33253146218037,3.171862178237335,8,4,31090.376664947307,3886.2970831184134,4612.044876266817,3818.81753106202,477.3521913827525,2.3766771302283085,5.039419570810671,3,7,144,75,74887.28626933218,520.0505990925845,706.2506200848554,17482.972545220815,121.40953156403344,152,105977.66293427949,21301.790076282836,0.5117845117845118,356.827147926867,0.05263157894736842,0.9473684210526315,725.7477931484032,186.20002099227088,No
PRV56092,119,77.31113213855673,4.13420327621574,92,70,781491.120777823,8494.468704106772,33793.46791735887,79570.48990846767,864.896629439866,12.075471858402782,28.02865374643086,24,18,433,119,371626.5365949219,858.2598997573253,1834.4801898535527,190789.46163255305,440.62231323915256,525,1153117.657372745,270359.9515410207,4.411764705882353,9690.064347670126,0.17523809523809525,0.8247619047619048,25298.999213252093,976.2202900962274,Yes
PRV52445,85,73.63963324794395,2.055601283914083,30,28,120470.95272940931,4015.698424313644,6575.178824329185,10710.137073888878,357.00456912962926,3.6104429729466716,9.176593811637575,7,4,97,54,51528.29727045282,531.2195594892044,916.8674386628886,6995.210955436335,72.1155768601684,127,171999.24999986214,17705.348029325214,1.4941176470588236,2023.5205882336722,0.23622047244094488,0.7637795275590551,2559.480400015541,385.64787917368426,No
PRV53212,170,70.02912600864818,2.6913199780798513,0,0,0.0,0.0,0.0,0.0,0.0,3.076495576745865,5.25080923255014,9,2,180,102,133456.0062371567,741.4222568730927,1329.8234535580636,6928.850511629377,38.49361395349654,180,133456.0062371567,6928.850511629377,1.0588235294117647,785.035330806804,0.0,1.0,0.0,588.401196684971,No
PRV52790,176,62.25362947571002,1.7756657654622936,1,0,2025.5212233567113,2025.5212233567113,2240.377172558549,448.0734743889605,448.0734743889605,2.603577908403069,6.888436751189871,3,6,10,6,3747.274019700043,374.7274019700043,650.1537118965969,569.3823813043851,56.93823813043851,11,5772.795243056755,1017.4558556933457,0.0625,32.79997297191338,0.09090909090909091,0.9090909090909091,214.85594920183757,275.4263099265926,No
PRV53457,133,77.39513402044786,3.017103821304376,9,7,23417.38209938751,2601.93134437639,5305.0746599909135,3915.9993328760274,435.11103698622526,4.575884117835914,6.101570612246057,1,5,108,77,83478.85381543965,772.9523501429597,1341.6721643367416,6200.715586365088,57.414033207084145,117,106896.23591482716,10116.714919241116,0.8796992481203008,803.7310971039636,0.07692307692307693,0.9230769230769231,2703.1433156145235,568.7198141937819,No
PRV51808,99,72.15290348386439,3.194015208507814,33,25,144486.816703937,4378.388384967788,5020.533141835862,13515.072422275754,409.54764915987136,3.8082063588755073,6.665287360936563,9,1,47,35,32528.48871906083,692.0955046608688,1126.5053882915797,5391.9875644195145,114.72313966850031,80,177015.30542299783,18907.05998669527,0.8080808080808081,1788.0333881110892,0.4125,0.5875,642.1447568680742,434.40988363071097,No
PRV52593,294,63.29071627825884,3.3996089008332318,7,4,11820.11006953035,1688.5871527900501,2215.820266252328,1754.8367614119402,250.69096591599146,4.983532303343262,7.293783214401285,9,0,42,21,8959.474843875269,213.32082961607782,547.3529288022831,3228.7270952183662,76.87445464805634,49,20779.58491340562,4983.563856630306,0.16666666666666666,70.67886024967898,0.14285714285714285,0.8571428571428571,527.233113462278,334.0320991862053,No
PRV55804,253,70.73679891012425,2.3493578470249794,20,12,58547.9960284739,2927.399801423695,3775.395779375313,8166.016034490895,408.3008017245448,2.871646438623907,6.259538714831596,14,3,168,140,55774.64026285536,331.99190632652,494.13192068705433,19466.441739646176,115.87167702170343,188,114322.63629132925,27632.45777413707,0.7430830039525692,451.86812763371245,0.10638297872340426,0.8936170212765957,847.995977951618,162.14001436053434,No
PRV54356,85,73.3205670039271,2.663268391541453,17,11,51192.01516510949,3011.295009712323,6236.013653851115,3520.2308426415416,207.07240250832598,3.6636079959979275,5.187067886351264,11,7,12,7,9129.226224425554,760.7688520354628,1900.3973786923646,813.4809256533536,67.79007713777946,29,60321.24138953505,4333.711768294896,0.3411764705882353,709.6616634062947,0.5862068965517241,0.41379310344827586,3224.718644138792,1139.6285266569016,No
