Provider,Unique_Beneficiaries,Avg_Patient_Age,Avg_Chronic_Conditions,IP_Claim_Count,IP_Unique_Beneficiaries,IP_Total_Reimbursement,IP_Avg_Reimbursement,IP_Max_Reimbursement,IP_Total_Deductible,IP_Avg_Deductible,IP_Avg_Claim_Duration,IP_Max_Claim_Duration,IP_Unique_Diagnosis_Codes,IP_Unique_Procedure_Codes,OP_Claim_Count,OP_Unique_Beneficiaries,OP_Total_Reimbursement,OP_Avg_Reimbursement,OP_Max_Reimbursement,OP_Total_Deductible,OP_Avg_Deductible,Total_Claims,Total_Reimbursement,Total_Deductible,Claims_Per_Beneficiary,Reimbursement_Per_Beneficiary,IP_Claim_Share,OP_Claim_Share,IP_Reimbursement_Range,OP_Reimbursement_Range,PotentialFraud
PRV51001,24,79.66906228610542,5.541666666666667,5.0,5.0,97000.0,19400.0,42000.0,5340.0,1068.0,5.0,14.0,39.0,3.0,20.0,19.0,7640.0,382.0,1500.0,0.0,0.0,25.0,104640.0,5340.0,1.0416666666666667,4360.0,0.2,0.8,22600.0,1118.0,No
PRV51003,117,70.47298127380263,4.367521367521367,62.0,53.0,573000.0,9241.935483870968,57000.0,66216.0,1068.0,5.161290322580645,27.0,292.0,39.0,70.0,66.0,32670.0,466.7142857142857,3300.0,70.0,1.0,132.0,605670.0,66286.0,1.1282051282051282,5176.666666666667,0.4696969696969697,0.5303030303030303,47758.06451612903,2833.285714285714,Yes
PRV51004,138,73.94540170024501,4.318840579710145,,,,,,,,,,,,149.0,138.0,52170.0,350.13422818791946,3300.0,310.0,2.0805369127516777,149.0,52170.0,310.0,1.0797101449275361,378.04347826086956,0.0,1.0,0.0,2949.8657718120803,No
PRV51005,495,71.5168550667524,3.8848484848484848,,,,,,,,,,,,1165.0,495.0,280910.0,241.1244635193133,4080.0,3700.0,3.1759656652360513,1165.0,280910.0,3700.0,2.3535353535353534,567.4949494949495,0.0,1.0,0.0,3838.8755364806866,Yes
PRV51007,58,69.48589770823007,3.8793103448275863,3.0,3.0,19000.0,6333.333333333333,10000.0,3204.0,1068.0,5.333333333333333,7.0,25.0,1.0,69.0,56.0,14710.0,213.18840579710144,3300.0,60.0,0.8695652173913043,72.0,33710.0,3264.0,1.2413793103448276,581.2068965517242,0.041666666666666664,0.9583333333333334,3666.666666666667,3086.8115942028985,No
PRV51008,36,76.24161533196441,4.083333333333333,2.0,2.0,25000.0,12500.0,21000.0,2136.0,1068.0,4.0,5.0,17.0,2.0,41.0,34.0,10630.0,259.2682926829268,1900.0,180.0,4.390243902439025,43.0,35630.0,2316.0,1.1944444444444444,989.7222222222222,0.046511627906976744,0.9534883720930233,8500.0,1640.7317073170732,No
PRV51011,53,74.71419162372632,4.528301886792453,1.0,1.0,5000.0,5000.0,5000.0,1068.0,1068.0,5.0,5.0,9.0,,57.0,52.0,11630.0,204.03508771929825,1600.0,300.0,5.2631578947368425,58.0,16630.0,1368.0,1.0943396226415094,313.77358490566036,0.017241379310344827,0.9827586206896551,0.0,1395.9649122807018,No
PRV51012,31,77.09575853922414,4.387096774193548,,,,,,,,,,,,48.0,31.0,16890.0,351.875,3300.0,100.0,2.0833333333333335,48.0,16890.0,100.0,1.5483870967741935,544.8387096774194,0.0,1.0,0.0,2948.125,No
PRV51013,44,75.56312612780785,4.386363636363637,,,,,,,,,,,,46.0,44.0,14880.0,323.4782608695652,1800.0,230.0,5.0,46.0,14880.0,230.0,1.0454545454545454,338.1818181818182,0.0,1.0,0.0,1476.5217391304348,No
PRV51014,25,73.35556468172484,4.0,,,,,,,,,,,,30.0,25.0,10480.0,349.3333333333333,3300.0,120.0,4.0,30.0,10480.0,120.0,1.2,419.2,0.0,1.0,0.0,2950.6666666666665,No
PRV51015,7,73.32042632247972,6.571428571428571,,,,,,,,,,,,8.0,7.0,700.0,87.5,200.0,0.0,0.0,8.0,700.0,0.0,1.1428571428571428,100.0,0.0,1.0,0.0,112.5,No
